"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635452004","26163545200","Block Group 4; Census Tract 5452; Wayne County; Michigan",360,757,160,144,134,92,227,530,2.38691231088746
"261635214002","26163521400","Block Group 2; Census Tract 5214; Wayne County; Michigan",518,768,320,141,115,61,131,637,2.86395607155598
"261635211002","26163521100","Block Group 2; Census Tract 5211; Wayne County; Michigan",336,701,173,152,142,125,109,592,2.66234074311644
"261635214001","26163521400","Block Group 1; Census Tract 5214; Wayne County; Michigan",460,635,284,148,77,65,61,574,2.59509721471473
"261635215001","26163521500","Block Group 1; Census Tract 5215; Wayne County; Michigan",269,483,178,82,95,41,87,396,1.77333004927561
"261635215002","26163521500","Block Group 2; Census Tract 5215; Wayne County; Michigan",436,871,235,142,159,99,236,635,2.84597538365548
"261635218001","26163521800","Block Group 1; Census Tract 5218; Wayne County; Michigan",901,1466,282,207,249,441,287,1179,5.25430824911296
"261635219001","26163521900","Block Group 1; Census Tract 5219; Wayne County; Michigan",430,741,312,149,110,98,72,669,3.00875181175454
"261635219002","26163521900","Block Group 2; Census Tract 5219; Wayne County; Michigan",0,0,0,0,0,0,0,0,0
"261635219003","26163521900","Block Group 3; Census Tract 5219; Wayne County; Michigan",1,144,26,21,71,25,1,143,0.629174948459001
"261635219004","26163521900","Block Group 4; Census Tract 5219; Wayne County; Michigan",616,1068,542,162,156,109,99,969,4.33428952387418
"261635219005","26163521900","Block Group 5; Census Tract 5219; Wayne County; Michigan",483,990,245,104,151,128,362,628,2.79703285620257
"261635220001","26163522000","Block Group 1; Census Tract 5220; Wayne County; Michigan",584,1096,319,188,208,92,289,807,3.62083949047278
"261635220002","26163522000","Block Group 2; Census Tract 5220; Wayne County; Michigan",331,693,144,112,164,114,159,534,2.38295788824255
"261635223001","26163522300","Block Group 1; Census Tract 5223; Wayne County; Michigan",628,821,187,115,258,114,147,674,2.98717100581093
"261635223002","26163522300","Block Group 2; Census Tract 5223; Wayne County; Michigan",375,338,63,76,89,48,62,276,1.23999644811221
"261635223003","26163522300","Block Group 3; Census Tract 5223; Wayne County; Michigan",2,34,7,1,21,3,2,32,0.138214368310586
